gear_item_id,gear_class_id,location_id,system_ids,author_id,review_date,source_type,source_url,rating,conditions_observed,durability,value,packability,usage_cycles_observed,usage_runtime_hours,failure_event_count,repair_event_count,pros,cons,use_case,version,evidence_quality
gear-18,cls-filter,loc-red-river-gorge,sys-water,author-18,2026-03-18,internal_admin,,5,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,4,1,2,27,22,0,0,good_weatherproofing,higher_weight,weekend_backpacking,1,medium
gear-19,cls-nav,loc-sand-rock,sys-navigation,author-19,2026-01-19,internal_admin,,1,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,5,2,3,28,23,0,1,good_weatherproofing,higher_weight,alpine_weekend,1,medium
gear-20,cls-med,loc-linville-gorge,sys-medical,author-20,2026-02-20,internal_admin,,2,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,1,3,4,29,24,0,0,good_weatherproofing,higher_weight,weekend_backpacking,1,medium
gear-21,cls-shell,loc-red-river-gorge,sys-clothing,author-21,2026-03-21,internal_admin,,3,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,2,4,5,20,25,1,0,good_weatherproofing,higher_weight,weekend_backpacking,1,medium
gear-22,cls-insul,loc-sand-rock,sys-clothing,author-22,2026-01-22,internal_admin,,4,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,3,5,1,21,26,0,1,good_weatherproofing,higher_weight,weekend_backpacking,1,medium
gear-23,cls-tent,loc-linville-gorge,sys-shelter,author-23,2026-02-23,internal_admin,,5,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,4,1,2,22,27,0,0,good_weatherproofing,higher_weight,weekend_backpacking,1,medium
gear-24,cls-pad,loc-red-river-gorge,sys-sleep,author-24,2026-03-24,internal_admin,,1,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,5,2,3,23,28,0,0,good_weatherproofing,higher_weight,weekend_backpacking,1,medium
gear-25,cls-bag,loc-sand-rock,sys-sleep,author-01,2026-01-25,internal_admin,,2,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,1,3,4,24,29,1,1,good_weatherproofing,higher_weight,weekend_backpacking,1,medium
gear-26,cls-stove,loc-linville-gorge,sys-cooking,author-02,2026-02-26,internal_admin,,3,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,2,4,5,25,30,0,0,good_weatherproofing,higher_weight,weekend_backpacking,1,medium
gear-27,cls-pot,loc-red-river-gorge,sys-cooking,author-03,2026-03-27,internal_admin,,4,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,3,5,1,26,31,0,0,good_weatherproofing,higher_weight,weekend_backpacking,1,medium
gear-28,cls-filter,loc-sand-rock,sys-water,author-04,2026-01-28,manufacturer_spec,https://gear-source.example/review-028,5,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,4,1,2,27,32,0,1,good_weatherproofing,higher_weight,alpine_weekend,1,medium
gear-29,cls-nav,loc-linville-gorge,sys-navigation,author-05,2026-02-01,third_party_review,https://gear-source.example/review-029,1,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,5,2,3,28,33,1,0,good_weatherproofing,higher_weight,weekend_backpacking,1,medium
gear-30,cls-med,loc-red-river-gorge,sys-medical,author-06,2026-03-02,internal_admin,,2,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,1,3,4,29,34,0,0,good_weatherproofing,higher_weight,weekend_backpacking,1,medium
gear-31,cls-shell,loc-sand-rock,sys-clothing,author-07,2026-01-03,internal_admin,,3,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,2,4,5,20,5,0,1,good_weatherproofing,higher_weight,weekend_backpacking,1,medium
gear-32,cls-insul,loc-linville-gorge,sys-clothing,author-08,2026-02-04,internal_admin,,4,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,3,5,1,21,6,0,0,good_weatherproofing,higher_weight,weekend_backpacking,1,medium
gear-33,cls-tent,loc-red-river-gorge,sys-shelter,author-09,2026-03-05,internal_admin,,5,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,4,1,2,22,7,1,0,good_weatherproofing,higher_weight,weekend_backpacking,1,medium
gear-34,cls-pad,loc-sand-rock,sys-sleep,author-10,2026-01-06,internal_admin,,1,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,5,2,3,23,8,0,1,good_weatherproofing,higher_weight,weekend_backpacking,1,medium
gear-35,cls-bag,loc-linville-gorge,sys-sleep,author-11,2026-02-07,internal_admin,,2,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,1,3,4,24,9,0,0,good_weatherproofing,higher_weight,weekend_backpacking,1,medium
gear-36,cls-stove,loc-red-river-gorge,sys-cooking,author-12,2026-03-08,internal_admin,,3,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,2,4,5,25,10,0,0,good_weatherproofing,higher_weight,weekend_backpacking,1,medium
gear-37,cls-pot,loc-sand-rock,sys-cooking,author-13,2026-01-09,internal_admin,,4,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,3,5,1,26,11,1,1,good_weatherproofing,higher_weight,alpine_weekend,1,medium
gear-38,cls-filter,loc-linville-gorge,sys-water,author-14,2026-02-10,internal_admin,,5,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,4,1,2,27,12,0,0,good_weatherproofing,higher_weight,weekend_backpacking,1,medium
gear-39,cls-nav,loc-red-river-gorge,sys-navigation,author-15,2026-03-11,internal_admin,,1,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,5,2,3,28,13,0,0,good_weatherproofing,higher_weight,weekend_backpacking,1,medium
gear-40,cls-med,loc-sand-rock,sys-medical,author-16,2026-01-12,internal_admin,,2,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,1,3,4,29,14,0,1,good_weatherproofing,higher_weight,weekend_backpacking,1,medium
gear-41,cls-shell,loc-linville-gorge,sys-clothing,author-17,2026-02-13,internal_admin,,3,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,2,4,5,20,15,1,0,good_weatherproofing,higher_weight,weekend_backpacking,1,medium
gear-42,cls-insul,loc-red-river-gorge,sys-clothing,author-18,2026-03-14,internal_admin,,4,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,3,5,1,21,16,0,0,good_weatherproofing,higher_weight,weekend_backpacking,1,medium
gear-43,cls-tent,loc-sand-rock,sys-shelter,author-19,2026-01-15,third_party_review,https://gear-source.example/review-043,5,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,4,1,2,22,17,0,1,good_weatherproofing,higher_weight,weekend_backpacking,1,medium
gear-44,cls-pad,loc-linville-gorge,sys-sleep,author-20,2026-02-16,internal_admin,,1,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,5,2,3,23,18,0,0,good_weatherproofing,higher_weight,weekend_backpacking,1,medium
gear-45,cls-bag,loc-red-river-gorge,sys-sleep,author-21,2026-03-17,internal_admin,,2,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,1,3,4,24,19,1,0,good_weatherproofing,higher_weight,weekend_backpacking,1,medium
gear-46,cls-stove,loc-sand-rock,sys-cooking,author-22,2026-01-18,internal_admin,,3,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,2,4,5,25,20,0,1,good_weatherproofing,higher_weight,alpine_weekend,1,medium
gear-47,cls-pot,loc-linville-gorge,sys-cooking,author-23,2026-02-19,internal_admin,,4,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,3,5,1,26,21,0,0,good_weatherproofing,higher_weight,weekend_backpacking,1,medium
gear-48,cls-filter,loc-red-river-gorge,sys-water,author-24,2026-03-20,internal_admin,,5,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,4,1,2,27,22,0,0,good_weatherproofing,higher_weight,weekend_backpacking,1,medium
gear-49,cls-nav,loc-sand-rock,sys-navigation,author-01,2026-01-21,internal_admin,,1,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,5,2,3,28,23,1,1,good_weatherproofing,higher_weight,weekend_backpacking,1,medium
gear-50,cls-med,loc-linville-gorge,sys-medical,author-02,2026-02-22,internal_admin,,2,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,1,3,4,29,24,0,0,good_weatherproofing,higher_weight,weekend_backpacking,1,medium
gear-51,cls-shell,loc-red-river-gorge,sys-clothing,author-03,2026-03-23,internal_admin,,3,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,2,4,5,20,25,0,0,good_weatherproofing,higher_weight,weekend_backpacking,1,medium
gear-52,cls-insul,loc-sand-rock,sys-clothing,author-04,2026-01-24,internal_admin,,4,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,3,5,1,21,26,0,1,good_weatherproofing,higher_weight,weekend_backpacking,1,medium
gear-53,cls-tent,loc-linville-gorge,sys-shelter,author-05,2026-02-25,internal_admin,,5,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,4,1,2,22,27,1,0,good_weatherproofing,higher_weight,weekend_backpacking,1,medium
gear-54,cls-pad,loc-red-river-gorge,sys-sleep,author-06,2026-03-26,internal_admin,,1,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,5,2,3,23,28,0,0,good_weatherproofing,higher_weight,weekend_backpacking,1,medium
gear-55,cls-bag,loc-sand-rock,sys-sleep,author-07,2026-01-27,manufacturer_spec,https://gear-source.example/review-055,2,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,1,3,4,24,29,0,1,good_weatherproofing,higher_weight,alpine_weekend,1,medium
gear-56,cls-stove,loc-linville-gorge,sys-cooking,author-08,2026-02-28,internal_admin,,3,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,2,4,5,25,30,0,0,good_weatherproofing,higher_weight,weekend_backpacking,1,medium
gear-57,cls-pot,loc-red-river-gorge,sys-cooking,author-09,2026-03-01,third_party_review,https://gear-source.example/review-057,4,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,3,5,1,26,31,1,0,good_weatherproofing,higher_weight,weekend_backpacking,1,medium
gear-58,cls-filter,loc-sand-rock,sys-water,author-10,2026-01-02,internal_admin,,5,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,4,1,2,27,32,0,1,good_weatherproofing,higher_weight,weekend_backpacking,1,medium
gear-59,cls-nav,loc-linville-gorge,sys-navigation,author-11,2026-02-03,internal_admin,,1,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,5,2,3,28,33,0,0,good_weatherproofing,higher_weight,weekend_backpacking,1,medium
gear-60,cls-med,loc-red-river-gorge,sys-medical,author-12,2026-03-04,internal_admin,,2,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,1,3,4,29,34,0,0,good_weatherproofing,higher_weight,weekend_backpacking,1,medium
gear-01,cls-shell,loc-sand-rock,sys-clothing,author-13,2026-01-05,internal_admin,,3,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,2,4,5,20,5,1,1,good_weatherproofing,higher_weight,weekend_backpacking,1,medium
gear-02,cls-insul,loc-linville-gorge,sys-clothing,author-14,2026-02-06,internal_admin,,4,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,3,5,1,21,6,0,0,good_weatherproofing,higher_weight,weekend_backpacking,1,medium
gear-03,cls-tent,loc-red-river-gorge,sys-shelter,author-15,2026-03-07,internal_admin,,5,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,4,1,2,22,7,0,0,good_weatherproofing,higher_weight,weekend_backpacking,1,medium
gear-04,cls-pad,loc-sand-rock,sys-sleep,author-16,2026-01-08,internal_admin,,1,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,5,2,3,23,8,0,1,good_weatherproofing,higher_weight,alpine_weekend,1,medium
gear-05,cls-bag,loc-linville-gorge,sys-sleep,author-17,2026-02-09,internal_admin,,2,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,1,3,4,24,9,1,0,good_weatherproofing,higher_weight,weekend_backpacking,1,medium
gear-06,cls-stove,loc-red-river-gorge,sys-cooking,author-18,2026-03-10,internal_admin,,3,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,2,4,5,25,10,0,0,good_weatherproofing,higher_weight,weekend_backpacking,1,medium
gear-07,cls-pot,loc-sand-rock,sys-cooking,author-19,2026-01-11,internal_admin,,4,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,3,5,1,26,11,0,1,good_weatherproofing,higher_weight,weekend_backpacking,1,medium
gear-08,cls-filter,loc-linville-gorge,sys-water,author-20,2026-02-12,internal_admin,,5,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,4,1,2,27,12,0,0,good_weatherproofing,higher_weight,weekend_backpacking,1,medium
gear-09,cls-nav,loc-red-river-gorge,sys-navigation,author-21,2026-03-13,internal_admin,,1,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,5,2,3,28,13,1,0,good_weatherproofing,higher_weight,weekend_backpacking,1,medium
gear-10,cls-med,loc-sand-rock,sys-medical,author-22,2026-01-14,internal_admin,,2,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,1,3,4,29,14,0,1,good_weatherproofing,higher_weight,weekend_backpacking,1,medium
gear-11,cls-shell,loc-linville-gorge,sys-clothing,author-23,2026-02-15,third_party_review,https://gear-source.example/review-071,3,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,2,4,5,20,15,0,0,good_weatherproofing,higher_weight,weekend_backpacking,1,medium
gear-12,cls-insul,loc-red-river-gorge,sys-clothing,author-24,2026-03-16,internal_admin,,4,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,3,5,1,21,16,0,0,good_weatherproofing,higher_weight,weekend_backpacking,1,medium
gear-13,cls-tent,loc-sand-rock,sys-shelter,author-01,2026-01-17,internal_admin,,5,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,4,1,2,22,17,1,1,good_weatherproofing,higher_weight,alpine_weekend,1,medium
gear-14,cls-pad,loc-linville-gorge,sys-sleep,author-02,2026-02-18,internal_admin,,1,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,5,2,3,23,18,0,0,good_weatherproofing,higher_weight,weekend_backpacking,1,medium
gear-15,cls-bag,loc-red-river-gorge,sys-sleep,author-03,2026-03-19,internal_admin,,2,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,1,3,4,24,19,0,0,good_weatherproofing,higher_weight,weekend_backpacking,1,medium
gear-16,cls-stove,loc-sand-rock,sys-cooking,author-04,2026-01-20,internal_admin,,3,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,2,4,5,25,20,0,1,good_weatherproofing,higher_weight,weekend_backpacking,1,medium
gear-17,cls-pot,loc-linville-gorge,sys-cooking,author-05,2026-02-21,internal_admin,,4,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,3,5,1,26,21,1,0,good_weatherproofing,higher_weight,weekend_backpacking,1,medium
gear-18,cls-filter,loc-red-river-gorge,sys-water,author-06,2026-03-22,internal_admin,,5,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,4,1,2,27,22,0,0,good_weatherproofing,higher_weight,weekend_backpacking,1,medium
gear-19,cls-nav,loc-sand-rock,sys-navigation,author-07,2026-01-23,internal_admin,,1,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,5,2,3,28,23,0,1,good_weatherproofing,higher_weight,weekend_backpacking,1,medium
gear-20,cls-med,loc-linville-gorge,sys-medical,author-08,2026-02-24,internal_admin,,2,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,1,3,4,29,24,0,0,good_weatherproofing,higher_weight,weekend_backpacking,1,medium
gear-21,cls-shell,loc-red-river-gorge,sys-clothing,author-09,2026-03-25,internal_admin,,3,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,2,4,5,20,25,1,0,good_weatherproofing,higher_weight,weekend_backpacking,1,medium
gear-22,cls-insul,loc-sand-rock,sys-clothing,author-10,2026-01-26,manufacturer_spec,https://gear-source.example/review-082,4,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,3,5,1,21,26,0,1,good_weatherproofing,higher_weight,alpine_weekend,1,medium
gear-23,cls-tent,loc-linville-gorge,sys-shelter,author-11,2026-02-27,internal_admin,,5,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,4,1,2,22,27,0,0,good_weatherproofing,higher_weight,weekend_backpacking,1,medium
gear-24,cls-pad,loc-red-river-gorge,sys-sleep,author-12,2026-03-28,internal_admin,,1,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,5,2,3,23,28,0,0,good_weatherproofing,higher_weight,weekend_backpacking,1,medium
gear-25,cls-bag,loc-sand-rock,sys-sleep,author-13,2026-01-01,third_party_review,https://gear-source.example/review-085,2,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,1,3,4,24,29,1,1,good_weatherproofing,higher_weight,weekend_backpacking,1,medium
gear-26,cls-stove,loc-linville-gorge,sys-cooking,author-14,2026-02-02,internal_admin,,3,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,2,4,5,25,30,0,0,good_weatherproofing,higher_weight,weekend_backpacking,1,medium
gear-27,cls-pot,loc-red-river-gorge,sys-cooking,author-15,2026-03-03,internal_admin,,4,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,3,5,1,26,31,0,0,good_weatherproofing,higher_weight,weekend_backpacking,1,medium
gear-28,cls-filter,loc-sand-rock,sys-water,author-16,2026-01-04,internal_admin,,5,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,4,1,2,27,32,0,1,good_weatherproofing,higher_weight,weekend_backpacking,1,medium
gear-29,cls-nav,loc-linville-gorge,sys-navigation,author-17,2026-02-05,internal_admin,,1,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,5,2,3,28,33,1,0,good_weatherproofing,higher_weight,weekend_backpacking,1,medium
gear-30,cls-med,loc-red-river-gorge,sys-medical,author-18,2026-03-06,internal_admin,,2,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,1,3,4,29,34,0,0,good_weatherproofing,higher_weight,weekend_backpacking,1,medium
gear-31,cls-shell,loc-sand-rock,sys-clothing,author-19,2026-01-07,internal_admin,,3,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,2,4,5,20,5,0,1,good_weatherproofing,higher_weight,alpine_weekend,1,medium
gear-32,cls-insul,loc-linville-gorge,sys-clothing,author-20,2026-02-08,internal_admin,,4,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,3,5,1,21,6,0,0,good_weatherproofing,higher_weight,weekend_backpacking,1,medium
gear-33,cls-tent,loc-red-river-gorge,sys-shelter,author-21,2026-03-09,internal_admin,,5,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,4,1,2,22,7,1,0,good_weatherproofing,higher_weight,weekend_backpacking,1,medium
gear-34,cls-pad,loc-sand-rock,sys-sleep,author-22,2026-01-10,internal_admin,,1,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,5,2,3,23,8,0,1,good_weatherproofing,higher_weight,weekend_backpacking,1,medium
gear-35,cls-bag,loc-linville-gorge,sys-sleep,author-23,2026-02-11,internal_admin,,2,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,1,3,4,24,9,0,0,good_weatherproofing,higher_weight,weekend_backpacking,1,medium
gear-36,cls-stove,loc-red-river-gorge,sys-cooking,author-24,2026-03-12,internal_admin,,3,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,2,4,5,25,10,0,0,good_weatherproofing,higher_weight,weekend_backpacking,1,medium
gear-37,cls-pot,loc-sand-rock,sys-cooking,author-01,2026-01-13,internal_admin,,4,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,3,5,1,26,11,1,1,good_weatherproofing,higher_weight,weekend_backpacking,1,medium
gear-38,cls-filter,loc-linville-gorge,sys-water,author-02,2026-02-14,internal_admin,,5,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,4,1,2,27,12,0,0,good_weatherproofing,higher_weight,weekend_backpacking,1,medium
gear-39,cls-nav,loc-red-river-gorge,sys-navigation,author-03,2026-03-15,third_party_review,https://gear-source.example/review-099,1,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,5,2,3,28,13,0,0,good_weatherproofing,higher_weight,weekend_backpacking,1,medium
gear-40,cls-med,loc-sand-rock,sys-medical,author-04,2026-01-16,internal_admin,,2,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,1,3,4,29,14,0,1,good_weatherproofing,higher_weight,alpine_weekend,1,medium
gear-41,cls-shell,loc-linville-gorge,sys-clothing,author-05,2026-02-17,internal_admin,,3,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,2,4,5,20,15,1,0,good_weatherproofing,higher_weight,weekend_backpacking,1,medium
gear-42,cls-insul,loc-red-river-gorge,sys-clothing,author-06,2026-03-18,internal_admin,,4,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,3,5,1,21,16,0,0,good_weatherproofing,higher_weight,weekend_backpacking,1,medium
gear-43,cls-tent,loc-sand-rock,sys-shelter,author-07,2026-01-19,internal_admin,,5,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,4,1,2,22,17,0,1,good_weatherproofing,higher_weight,weekend_backpacking,1,medium
gear-44,cls-pad,loc-linville-gorge,sys-sleep,author-08,2026-02-20,internal_admin,,1,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,5,2,3,23,18,0,0,good_weatherproofing,higher_weight,weekend_backpacking,1,medium
gear-45,cls-bag,loc-red-river-gorge,sys-sleep,author-09,2026-03-21,internal_admin,,2,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,1,3,4,24,19,1,0,good_weatherproofing,higher_weight,weekend_backpacking,1,medium
gear-46,cls-stove,loc-sand-rock,sys-cooking,author-10,2026-01-22,internal_admin,,3,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,2,4,5,25,20,0,1,good_weatherproofing,higher_weight,weekend_backpacking,1,medium
gear-47,cls-pot,loc-linville-gorge,sys-cooking,author-11,2026-02-23,internal_admin,,4,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,3,5,1,26,21,0,0,good_weatherproofing,higher_weight,weekend_backpacking,1,medium
gear-48,cls-filter,loc-red-river-gorge,sys-water,author-12,2026-03-24,internal_admin,,5,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,4,1,2,27,22,0,0,good_weatherproofing,higher_weight,weekend_backpacking,1,medium
gear-49,cls-nav,loc-sand-rock,sys-navigation,author-13,2026-01-25,manufacturer_spec,https://gear-source.example/review-109,1,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,5,2,3,28,23,1,1,good_weatherproofing,higher_weight,alpine_weekend,1,medium
gear-50,cls-med,loc-linville-gorge,sys-medical,author-14,2026-02-26,internal_admin,,2,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,1,3,4,29,24,0,0,good_weatherproofing,higher_weight,weekend_backpacking,1,medium
gear-51,cls-shell,loc-red-river-gorge,sys-clothing,author-15,2026-03-27,internal_admin,,3,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,2,4,5,20,25,0,0,good_weatherproofing,higher_weight,weekend_backpacking,1,medium
